line_no,doi,compound,entity,title,year,authors,existing_sources
178,10.1021/acschemneuro.5c00782,,,Next-Generation MDMA Analogue SDMA: Pharmacological and Metabolic Insights.,2025,Kastner N; Nadal-Gratacós N; Hemmer S; Alves da Silva L; McKee JL; Hell T; Cicalese G; Holy M; Kooti F; Jäntsch K,candidate_paper_corpus | disorder:paper_library | mechanistic:curated | mechanistic:paper_library
179,10.1007/978-3-031-96364-3_11,,,Novel Ways of Targeting the Dopamine Transporter.,2025,Xu Y; Zeng H; Aggarwal S; Mortensen OV,candidate_paper_corpus | mechanistic:paper_library
182,10.1021/acschemneuro.5c00443,,,Pharmacological Evaluation of Tropane Analogues at the Serotonin Transporter.,2025,Avanes AA; Warren HT; Senthil A; Olson DE,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
183,10.1177/02698811251361453,,,Pharmacological characterisation of psilocybin and 5-MeO-DMT discriminative cues in the rat and their translational value for identifying novel psychedelics.,2025,Higgins GA; MacMillan C; de Lannoy I; Tyler C; Slassi M,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
185,10.1093/ijnp/pyaf022,,,"Premorbid characteristics of the SAPAP3 mouse model of obsessive-compulsive disorder: behavior, neuroplasticity, and psilocybin treatment.",2025,Lazar M; Brownstien M; Botvinnik A; Shevakh C; Shahar O; Lifschytz T; Lerer B,candidate_paper_corpus | disorder:paper_library | disorder:stubs
187,10.1002/prp2.70079,,,"Psilocin, A Psychedelic Drug, Exerts Anticonvulsant Effects Against PTZ- and MES-Induced Seizures in Mice via 5-HT1A and CB1 Receptors: Involvement of Nitrergic, Opioidergic, and Kynurenine Pathways.",2025,Balabandian M; Manavi MA; Lesani A; Mohammad Jafari R; Shafaroodi H; Heidari N; Mirnajafi-Zadeh J; Foroumadi A; Afrooghe A; Dehpour AR,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
188,10.3390/medsci13040277,,,Psilocybin and Chronic Pain: A New Perspective for Future Pain Therapists?,2025,Natoli S; Cuomo A; Marchesini M; Luongo L; Lo Bianco G; Guardamagna VA; Yamaguchi S,candidate_paper_corpus | disorder:curated | disorder:paper_library | mechanistic:paper_library
189,10.1177/02698811251330783,,,Psilocybin and ketamine affect novel neuropeptides gene expression in the rat hypothalamus.,2025,Pałasz A; Pukowiec M; Bogus K; Suszka-Świtek A; Filipczyk Ł; Mordecka-Chamera K; Worthington JJ; Sygidus M; Wojtas A; Bysiek A,candidate_paper_corpus | mechanistic:paper_library
190,10.1016/j.intimp.2025.114940,,,Psilocybin and psilocin regulate microglial immunomodulation and support neuroplasticity via serotonergic and AhR signaling.,2025,Laabi S; LeMmon C; Vogel C; Chacon M; Jimenez VM Jr,candidate_paper_corpus | mechanistic:paper_library
192,10.1016/j.clinph.2025.02.264,,,Psilocybin for disorders of consciousness: A case-report study.,2025,Cardone P; Núñez P; Alnagger NLN; Martial C; van der Lande GJM; Sandell R; Carhart-Harris R; Gosseries O,candidate_paper_corpus | mechanistic:paper_library
193,10.1038/s41380-024-02788-y,,,Psilocybin reduces heroin seeking behavior and modulates inflammatory gene expression in the nucleus accumbens and prefrontal cortex of male rats.,2025,Floris G; Dabrowski KR; Zanda MT; Daws SE,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
194,10.1038/s41593-025-02069-z,,,Psychedelic 5-HT(2A) receptor agonism alters neurovascular coupling and differentially affects neuronal and hemodynamic measures of brain function.,2025,Padawer-Curry JA; Krentzman OJ; Kuo CC; Wang X; Bice AR; Nicol GE; Snyder AZ; Siegel JS; McCall JG; Bauer AQ,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
195,10.3390/brainsci15020117,,,Psychedelic-Induced Neural Plasticity: A Comprehensive Review and a Discussion of Clinical Implications.,2025,Weiss F; Magnesa A; Gambini M; Gurrieri R; Annuzzi E; Elefante C; Perugi G; Marazziti D,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
196,10.1523/eneuro.0047-25.2025,,,Psychedelics Reverse the Polarity of Long-Term Synaptic Plasticity in Cortical-Projecting Claustrum Neurons.,2025,Anderson TL; Asadipooya A; Ortinski PI,candidate_paper_corpus | disorder:paper_library
198,10.3390/brainsci15080893,,,Psychedelics and the Serotonin Hypothesis of Eating Disorders.,2025,Bilenker D; Avena NM,candidate_paper_corpus | disorder:curated | disorder:paper_library | disorder:stubs | mechanistic:paper_library
