# query|compound|entity
LSD M3 muscarinic receptor CHRM3 binding affinity Ki|LSD|M3 muscarinic receptor (CHRM3)
LSD M3 muscarinic receptor CHRM3 receptor pharmacology assay|LSD|M3 muscarinic receptor (CHRM3)
LSD M3 muscarinic receptor CHRM3 functional assay agonist antagonist|LSD|M3 muscarinic receptor (CHRM3)
LSD M4 muscarinic receptor CHRM4 binding affinity Ki|LSD|M4 muscarinic receptor (CHRM4)
LSD M4 muscarinic receptor CHRM4 receptor pharmacology assay|LSD|M4 muscarinic receptor (CHRM4)
LSD M4 muscarinic receptor CHRM4 functional assay agonist antagonist|LSD|M4 muscarinic receptor (CHRM4)
LSD M5 muscarinic receptor CHRM5 binding affinity Ki|LSD|M5 muscarinic receptor (CHRM5)
LSD M5 muscarinic receptor CHRM5 receptor pharmacology assay|LSD|M5 muscarinic receptor (CHRM5)
LSD M5 muscarinic receptor CHRM5 functional assay agonist antagonist|LSD|M5 muscarinic receptor (CHRM5)
LSD H1 receptor HRH1 binding affinity Ki|LSD|H1 receptor (HRH1)
LSD H1 receptor HRH1 receptor pharmacology assay|LSD|H1 receptor (HRH1)
LSD H1 receptor HRH1 functional assay agonist antagonist|LSD|H1 receptor (HRH1)
LSD H2 receptor HRH2 binding affinity Ki|LSD|H2 receptor (HRH2)
LSD H2 receptor HRH2 receptor pharmacology assay|LSD|H2 receptor (HRH2)
LSD H2 receptor HRH2 functional assay agonist antagonist|LSD|H2 receptor (HRH2)
LSD Sigma-1 receptor SIGMAR1 binding affinity Ki|LSD|Sigma-1 receptor (SIGMAR1)
LSD Sigma-1 receptor SIGMAR1 receptor pharmacology assay|LSD|Sigma-1 receptor (SIGMAR1)
LSD Sigma-1 receptor SIGMAR1 functional assay agonist antagonist|LSD|Sigma-1 receptor (SIGMAR1)
LSD Sigma-2 receptor TMEM97 binding affinity Ki|LSD|Sigma-2 receptor (TMEM97)
LSD Sigma-2 receptor TMEM97 receptor pharmacology assay|LSD|Sigma-2 receptor (TMEM97)
LSD Sigma-2 receptor TMEM97 functional assay agonist antagonist|LSD|Sigma-2 receptor (TMEM97)
LSD kappa opioid receptor OPRK1 binding affinity Ki|LSD|kappa opioid receptor (OPRK1)
LSD kappa opioid receptor OPRK1 receptor pharmacology assay|LSD|kappa opioid receptor (OPRK1)
LSD kappa opioid receptor OPRK1 functional assay agonist antagonist|LSD|kappa opioid receptor (OPRK1)
LSD mu opioid receptor OPRM1 binding affinity Ki|LSD|mu opioid receptor (OPRM1)
LSD mu opioid receptor OPRM1 receptor pharmacology assay|LSD|mu opioid receptor (OPRM1)
LSD mu opioid receptor OPRM1 functional assay agonist antagonist|LSD|mu opioid receptor (OPRM1)
LSD delta opioid receptor OPRD1 binding affinity Ki|LSD|delta opioid receptor (OPRD1)
LSD delta opioid receptor OPRD1 receptor pharmacology assay|LSD|delta opioid receptor (OPRD1)
LSD delta opioid receptor OPRD1 functional assay agonist antagonist|LSD|delta opioid receptor (OPRD1)
LSD NMDA receptor binding affinity Ki|LSD|NMDA receptor
LSD NMDA receptor pharmacology assay|LSD|NMDA receptor
LSD NMDA receptor functional assay agonist antagonist|LSD|NMDA receptor
LSD AMPA receptor binding affinity Ki|LSD|AMPA receptor
LSD AMPA receptor pharmacology assay|LSD|AMPA receptor
LSD AMPA receptor functional assay agonist antagonist|LSD|AMPA receptor
LSD TrkB NTRK2 binding affinity Ki|LSD|TrkB (NTRK2)
LSD TrkB NTRK2 receptor pharmacology assay|LSD|TrkB (NTRK2)
LSD TrkB NTRK2 functional assay agonist antagonist|LSD|TrkB (NTRK2)
LSD CB1 receptor CNR1 binding affinity Ki|LSD|CB1 receptor (CNR1)
LSD CB1 receptor CNR1 receptor pharmacology assay|LSD|CB1 receptor (CNR1)
LSD CB1 receptor CNR1 functional assay agonist antagonist|LSD|CB1 receptor (CNR1)
LSD CB2 receptor CNR2 binding affinity Ki|LSD|CB2 receptor (CNR2)
LSD CB2 receptor CNR2 receptor pharmacology assay|LSD|CB2 receptor (CNR2)
LSD CB2 receptor CNR2 functional assay agonist antagonist|LSD|CB2 receptor (CNR2)
Psilocybin 5-HT2A binding affinity Ki|Psilocybin|5-HT2A
Psilocybin 5-HT2A receptor pharmacology assay|Psilocybin|5-HT2A
Psilocybin 5-HT2A functional assay agonist antagonist|Psilocybin|5-HT2A
Psilocybin 5-HT2B binding affinity Ki|Psilocybin|5-HT2B
Psilocybin 5-HT2B receptor pharmacology assay|Psilocybin|5-HT2B
Psilocybin 5-HT2B functional assay agonist antagonist|Psilocybin|5-HT2B
Psilocybin 5-HT2C binding affinity Ki|Psilocybin|5-HT2C
Psilocybin 5-HT2C receptor pharmacology assay|Psilocybin|5-HT2C
Psilocybin 5-HT2C functional assay agonist antagonist|Psilocybin|5-HT2C
Psilocybin 5-HT1A binding affinity Ki|Psilocybin|5-HT1A
Psilocybin 5-HT1A receptor pharmacology assay|Psilocybin|5-HT1A
Psilocybin 5-HT1A functional assay agonist antagonist|Psilocybin|5-HT1A
Psilocybin 5-HT1B binding affinity Ki|Psilocybin|5-HT1B
Psilocybin 5-HT1B receptor pharmacology assay|Psilocybin|5-HT1B
Psilocybin 5-HT1B functional assay agonist antagonist|Psilocybin|5-HT1B
Psilocybin 5-HT1D binding affinity Ki|Psilocybin|5-HT1D
Psilocybin 5-HT1D receptor pharmacology assay|Psilocybin|5-HT1D
Psilocybin 5-HT1D functional assay agonist antagonist|Psilocybin|5-HT1D
Psilocybin 5-HT1E binding affinity Ki|Psilocybin|5-HT1E
Psilocybin 5-HT1E receptor pharmacology assay|Psilocybin|5-HT1E
Psilocybin 5-HT1E functional assay agonist antagonist|Psilocybin|5-HT1E
Psilocybin 5-HT1F binding affinity Ki|Psilocybin|5-HT1F
Psilocybin 5-HT1F receptor pharmacology assay|Psilocybin|5-HT1F
Psilocybin 5-HT1F functional assay agonist antagonist|Psilocybin|5-HT1F
Psilocybin 5-HT5A binding affinity Ki|Psilocybin|5-HT5A
Psilocybin 5-HT5A receptor pharmacology assay|Psilocybin|5-HT5A
Psilocybin 5-HT5A functional assay agonist antagonist|Psilocybin|5-HT5A
Psilocybin 5-HT6 binding affinity Ki|Psilocybin|5-HT6
Psilocybin 5-HT6 receptor pharmacology assay|Psilocybin|5-HT6
Psilocybin 5-HT6 functional assay agonist antagonist|Psilocybin|5-HT6
Psilocybin 5-HT7 binding affinity Ki|Psilocybin|5-HT7
Psilocybin 5-HT7 receptor pharmacology assay|Psilocybin|5-HT7
Psilocybin 5-HT7 functional assay agonist antagonist|Psilocybin|5-HT7
Psilocybin mGluR2 GRM2 binding affinity Ki|Psilocybin|mGluR2 (GRM2)
Psilocybin mGluR2 GRM2 receptor pharmacology assay|Psilocybin|mGluR2 (GRM2)
Psilocybin mGluR2 GRM2 functional assay agonist antagonist|Psilocybin|mGluR2 (GRM2)
Psilocybin TAAR1 binding affinity Ki|Psilocybin|TAAR1
Psilocybin TAAR1 receptor pharmacology assay|Psilocybin|TAAR1
Psilocybin TAAR1 functional assay agonist antagonist|Psilocybin|TAAR1
Psilocybin SERT SLC6A4 binding affinity Ki|Psilocybin|SERT (SLC6A4)
Psilocybin SERT SLC6A4 receptor pharmacology assay|Psilocybin|SERT (SLC6A4)
Psilocybin SERT SLC6A4 functional assay agonist antagonist|Psilocybin|SERT (SLC6A4)
Psilocybin NET SLC6A2 binding affinity Ki|Psilocybin|NET (SLC6A2)
Psilocybin NET SLC6A2 receptor pharmacology assay|Psilocybin|NET (SLC6A2)
Psilocybin NET SLC6A2 functional assay agonist antagonist|Psilocybin|NET (SLC6A2)
Psilocybin DAT SLC6A3 binding affinity Ki|Psilocybin|DAT (SLC6A3)
Psilocybin DAT SLC6A3 receptor pharmacology assay|Psilocybin|DAT (SLC6A3)
Psilocybin DAT SLC6A3 functional assay agonist antagonist|Psilocybin|DAT (SLC6A3)
Psilocybin VMAT2 SLC18A2 binding affinity Ki|Psilocybin|VMAT2 (SLC18A2)
Psilocybin VMAT2 SLC18A2 receptor pharmacology assay|Psilocybin|VMAT2 (SLC18A2)
Psilocybin VMAT2 SLC18A2 functional assay agonist antagonist|Psilocybin|VMAT2 (SLC18A2)
Psilocybin D1 receptor DRD1 binding affinity Ki|Psilocybin|D1 receptor (DRD1)
Psilocybin D1 receptor DRD1 receptor pharmacology assay|Psilocybin|D1 receptor (DRD1)
Psilocybin D1 receptor DRD1 functional assay agonist antagonist|Psilocybin|D1 receptor (DRD1)
Psilocybin D2 receptor DRD2 binding affinity Ki|Psilocybin|D2 receptor (DRD2)
Psilocybin D2 receptor DRD2 receptor pharmacology assay|Psilocybin|D2 receptor (DRD2)
Psilocybin D2 receptor DRD2 functional assay agonist antagonist|Psilocybin|D2 receptor (DRD2)
Psilocybin D3 receptor DRD3 binding affinity Ki|Psilocybin|D3 receptor (DRD3)
Psilocybin D3 receptor DRD3 receptor pharmacology assay|Psilocybin|D3 receptor (DRD3)
Psilocybin D3 receptor DRD3 functional assay agonist antagonist|Psilocybin|D3 receptor (DRD3)
Psilocybin D4 receptor DRD4 binding affinity Ki|Psilocybin|D4 receptor (DRD4)
Psilocybin D4 receptor DRD4 receptor pharmacology assay|Psilocybin|D4 receptor (DRD4)
Psilocybin D4 receptor DRD4 functional assay agonist antagonist|Psilocybin|D4 receptor (DRD4)
Psilocybin D5 receptor DRD5 binding affinity Ki|Psilocybin|D5 receptor (DRD5)
Psilocybin D5 receptor DRD5 receptor pharmacology assay|Psilocybin|D5 receptor (DRD5)
Psilocybin D5 receptor DRD5 functional assay agonist antagonist|Psilocybin|D5 receptor (DRD5)
Psilocybin Alpha1A adrenergic receptor ADRA1A binding affinity Ki|Psilocybin|Alpha1A adrenergic receptor (ADRA1A)
Psilocybin Alpha1A adrenergic receptor ADRA1A receptor pharmacology assay|Psilocybin|Alpha1A adrenergic receptor (ADRA1A)
Psilocybin Alpha1A adrenergic receptor ADRA1A functional assay agonist antagonist|Psilocybin|Alpha1A adrenergic receptor (ADRA1A)
Psilocybin Alpha1B adrenergic receptor ADRA1B binding affinity Ki|Psilocybin|Alpha1B adrenergic receptor (ADRA1B)
Psilocybin Alpha1B adrenergic receptor ADRA1B receptor pharmacology assay|Psilocybin|Alpha1B adrenergic receptor (ADRA1B)
Psilocybin Alpha1B adrenergic receptor ADRA1B functional assay agonist antagonist|Psilocybin|Alpha1B adrenergic receptor (ADRA1B)
Psilocybin Alpha2A adrenergic receptor ADRA2A binding affinity Ki|Psilocybin|Alpha2A adrenergic receptor (ADRA2A)
Psilocybin Alpha2A adrenergic receptor ADRA2A receptor pharmacology assay|Psilocybin|Alpha2A adrenergic receptor (ADRA2A)
Psilocybin Alpha2A adrenergic receptor ADRA2A functional assay agonist antagonist|Psilocybin|Alpha2A adrenergic receptor (ADRA2A)
Psilocybin Alpha2B adrenergic receptor ADRA2B binding affinity Ki|Psilocybin|Alpha2B adrenergic receptor (ADRA2B)
Psilocybin Alpha2B adrenergic receptor ADRA2B receptor pharmacology assay|Psilocybin|Alpha2B adrenergic receptor (ADRA2B)
Psilocybin Alpha2B adrenergic receptor ADRA2B functional assay agonist antagonist|Psilocybin|Alpha2B adrenergic receptor (ADRA2B)
Psilocybin Alpha2C adrenergic receptor ADRA2C binding affinity Ki|Psilocybin|Alpha2C adrenergic receptor (ADRA2C)
Psilocybin Alpha2C adrenergic receptor ADRA2C receptor pharmacology assay|Psilocybin|Alpha2C adrenergic receptor (ADRA2C)
Psilocybin Alpha2C adrenergic receptor ADRA2C functional assay agonist antagonist|Psilocybin|Alpha2C adrenergic receptor (ADRA2C)
Psilocybin Beta1 adrenergic receptor ADRB1 binding affinity Ki|Psilocybin|Beta1 adrenergic receptor (ADRB1)
Psilocybin Beta1 adrenergic receptor ADRB1 receptor pharmacology assay|Psilocybin|Beta1 adrenergic receptor (ADRB1)
Psilocybin Beta1 adrenergic receptor ADRB1 functional assay agonist antagonist|Psilocybin|Beta1 adrenergic receptor (ADRB1)
Psilocybin Beta2 adrenergic receptor ADRB2 binding affinity Ki|Psilocybin|Beta2 adrenergic receptor (ADRB2)
Psilocybin Beta2 adrenergic receptor ADRB2 receptor pharmacology assay|Psilocybin|Beta2 adrenergic receptor (ADRB2)
Psilocybin Beta2 adrenergic receptor ADRB2 functional assay agonist antagonist|Psilocybin|Beta2 adrenergic receptor (ADRB2)
Psilocybin M1 muscarinic receptor CHRM1 binding affinity Ki|Psilocybin|M1 muscarinic receptor (CHRM1)
Psilocybin M1 muscarinic receptor CHRM1 receptor pharmacology assay|Psilocybin|M1 muscarinic receptor (CHRM1)
Psilocybin M1 muscarinic receptor CHRM1 functional assay agonist antagonist|Psilocybin|M1 muscarinic receptor (CHRM1)
Psilocybin M2 muscarinic receptor CHRM2 binding affinity Ki|Psilocybin|M2 muscarinic receptor (CHRM2)
Psilocybin M2 muscarinic receptor CHRM2 receptor pharmacology assay|Psilocybin|M2 muscarinic receptor (CHRM2)
Psilocybin M2 muscarinic receptor CHRM2 functional assay agonist antagonist|Psilocybin|M2 muscarinic receptor (CHRM2)
Psilocybin M3 muscarinic receptor CHRM3 binding affinity Ki|Psilocybin|M3 muscarinic receptor (CHRM3)
Psilocybin M3 muscarinic receptor CHRM3 receptor pharmacology assay|Psilocybin|M3 muscarinic receptor (CHRM3)
Psilocybin M3 muscarinic receptor CHRM3 functional assay agonist antagonist|Psilocybin|M3 muscarinic receptor (CHRM3)
Psilocybin M4 muscarinic receptor CHRM4 binding affinity Ki|Psilocybin|M4 muscarinic receptor (CHRM4)
Psilocybin M4 muscarinic receptor CHRM4 receptor pharmacology assay|Psilocybin|M4 muscarinic receptor (CHRM4)
Psilocybin M4 muscarinic receptor CHRM4 functional assay agonist antagonist|Psilocybin|M4 muscarinic receptor (CHRM4)
Psilocybin M5 muscarinic receptor CHRM5 binding affinity Ki|Psilocybin|M5 muscarinic receptor (CHRM5)
Psilocybin M5 muscarinic receptor CHRM5 receptor pharmacology assay|Psilocybin|M5 muscarinic receptor (CHRM5)
Psilocybin M5 muscarinic receptor CHRM5 functional assay agonist antagonist|Psilocybin|M5 muscarinic receptor (CHRM5)
Psilocybin H1 receptor HRH1 binding affinity Ki|Psilocybin|H1 receptor (HRH1)
Psilocybin H1 receptor HRH1 receptor pharmacology assay|Psilocybin|H1 receptor (HRH1)
Psilocybin H1 receptor HRH1 functional assay agonist antagonist|Psilocybin|H1 receptor (HRH1)
Psilocybin H2 receptor HRH2 binding affinity Ki|Psilocybin|H2 receptor (HRH2)
Psilocybin H2 receptor HRH2 receptor pharmacology assay|Psilocybin|H2 receptor (HRH2)
Psilocybin H2 receptor HRH2 functional assay agonist antagonist|Psilocybin|H2 receptor (HRH2)
Psilocybin Sigma-1 receptor SIGMAR1 binding affinity Ki|Psilocybin|Sigma-1 receptor (SIGMAR1)
Psilocybin Sigma-1 receptor SIGMAR1 receptor pharmacology assay|Psilocybin|Sigma-1 receptor (SIGMAR1)
Psilocybin Sigma-1 receptor SIGMAR1 functional assay agonist antagonist|Psilocybin|Sigma-1 receptor (SIGMAR1)
Psilocybin Sigma-2 receptor TMEM97 binding affinity Ki|Psilocybin|Sigma-2 receptor (TMEM97)
Psilocybin Sigma-2 receptor TMEM97 receptor pharmacology assay|Psilocybin|Sigma-2 receptor (TMEM97)
Psilocybin Sigma-2 receptor TMEM97 functional assay agonist antagonist|Psilocybin|Sigma-2 receptor (TMEM97)
Psilocybin kappa opioid receptor OPRK1 binding affinity Ki|Psilocybin|kappa opioid receptor (OPRK1)
Psilocybin kappa opioid receptor OPRK1 receptor pharmacology assay|Psilocybin|kappa opioid receptor (OPRK1)
Psilocybin kappa opioid receptor OPRK1 functional assay agonist antagonist|Psilocybin|kappa opioid receptor (OPRK1)
Psilocybin mu opioid receptor OPRM1 binding affinity Ki|Psilocybin|mu opioid receptor (OPRM1)
Psilocybin mu opioid receptor OPRM1 receptor pharmacology assay|Psilocybin|mu opioid receptor (OPRM1)
Psilocybin mu opioid receptor OPRM1 functional assay agonist antagonist|Psilocybin|mu opioid receptor (OPRM1)
Psilocybin delta opioid receptor OPRD1 binding affinity Ki|Psilocybin|delta opioid receptor (OPRD1)
Psilocybin delta opioid receptor OPRD1 receptor pharmacology assay|Psilocybin|delta opioid receptor (OPRD1)
Psilocybin delta opioid receptor OPRD1 functional assay agonist antagonist|Psilocybin|delta opioid receptor (OPRD1)
Psilocybin NMDA receptor binding affinity Ki|Psilocybin|NMDA receptor
Psilocybin NMDA receptor pharmacology assay|Psilocybin|NMDA receptor
Psilocybin NMDA receptor functional assay agonist antagonist|Psilocybin|NMDA receptor
Psilocybin AMPA receptor binding affinity Ki|Psilocybin|AMPA receptor
Psilocybin AMPA receptor pharmacology assay|Psilocybin|AMPA receptor
Psilocybin AMPA receptor functional assay agonist antagonist|Psilocybin|AMPA receptor
Psilocybin TrkB NTRK2 binding affinity Ki|Psilocybin|TrkB (NTRK2)
Psilocybin TrkB NTRK2 receptor pharmacology assay|Psilocybin|TrkB (NTRK2)
Psilocybin TrkB NTRK2 functional assay agonist antagonist|Psilocybin|TrkB (NTRK2)
Psilocybin CB1 receptor CNR1 binding affinity Ki|Psilocybin|CB1 receptor (CNR1)
Psilocybin CB1 receptor CNR1 receptor pharmacology assay|Psilocybin|CB1 receptor (CNR1)
Psilocybin CB1 receptor CNR1 functional assay agonist antagonist|Psilocybin|CB1 receptor (CNR1)
Psilocybin CB2 receptor CNR2 binding affinity Ki|Psilocybin|CB2 receptor (CNR2)
Psilocybin CB2 receptor CNR2 receptor pharmacology assay|Psilocybin|CB2 receptor (CNR2)
Psilocybin CB2 receptor CNR2 functional assay agonist antagonist|Psilocybin|CB2 receptor (CNR2)
Psilocin 5-HT2A binding affinity Ki|Psilocin|5-HT2A
Psilocin 5-HT2A receptor pharmacology assay|Psilocin|5-HT2A
Psilocin 5-HT2A functional assay agonist antagonist|Psilocin|5-HT2A
Psilocin 5-HT2B binding affinity Ki|Psilocin|5-HT2B
Psilocin 5-HT2B receptor pharmacology assay|Psilocin|5-HT2B
Psilocin 5-HT2B functional assay agonist antagonist|Psilocin|5-HT2B
Psilocin 5-HT2C binding affinity Ki|Psilocin|5-HT2C
Psilocin 5-HT2C receptor pharmacology assay|Psilocin|5-HT2C
Psilocin 5-HT2C functional assay agonist antagonist|Psilocin|5-HT2C
Psilocin 5-HT1A binding affinity Ki|Psilocin|5-HT1A
Psilocin 5-HT1A receptor pharmacology assay|Psilocin|5-HT1A
Psilocin 5-HT1A functional assay agonist antagonist|Psilocin|5-HT1A
Psilocin 5-HT1B binding affinity Ki|Psilocin|5-HT1B
Psilocin 5-HT1B receptor pharmacology assay|Psilocin|5-HT1B
Psilocin 5-HT1B functional assay agonist antagonist|Psilocin|5-HT1B
Psilocin 5-HT1D binding affinity Ki|Psilocin|5-HT1D
Psilocin 5-HT1D receptor pharmacology assay|Psilocin|5-HT1D
Psilocin 5-HT1D functional assay agonist antagonist|Psilocin|5-HT1D
Psilocin 5-HT1E binding affinity Ki|Psilocin|5-HT1E
Psilocin 5-HT1E receptor pharmacology assay|Psilocin|5-HT1E
Psilocin 5-HT1E functional assay agonist antagonist|Psilocin|5-HT1E
Psilocin 5-HT1F binding affinity Ki|Psilocin|5-HT1F
Psilocin 5-HT1F receptor pharmacology assay|Psilocin|5-HT1F
Psilocin 5-HT1F functional assay agonist antagonist|Psilocin|5-HT1F
Psilocin 5-HT5A binding affinity Ki|Psilocin|5-HT5A
Psilocin 5-HT5A receptor pharmacology assay|Psilocin|5-HT5A
Psilocin 5-HT5A functional assay agonist antagonist|Psilocin|5-HT5A
Psilocin 5-HT6 binding affinity Ki|Psilocin|5-HT6
Psilocin 5-HT6 receptor pharmacology assay|Psilocin|5-HT6
Psilocin 5-HT6 functional assay agonist antagonist|Psilocin|5-HT6
Psilocin 5-HT7 binding affinity Ki|Psilocin|5-HT7
Psilocin 5-HT7 receptor pharmacology assay|Psilocin|5-HT7
Psilocin 5-HT7 functional assay agonist antagonist|Psilocin|5-HT7
Psilocin mGluR2 GRM2 binding affinity Ki|Psilocin|mGluR2 (GRM2)
Psilocin mGluR2 GRM2 receptor pharmacology assay|Psilocin|mGluR2 (GRM2)
Psilocin mGluR2 GRM2 functional assay agonist antagonist|Psilocin|mGluR2 (GRM2)
Psilocin TAAR1 binding affinity Ki|Psilocin|TAAR1
Psilocin TAAR1 receptor pharmacology assay|Psilocin|TAAR1
Psilocin TAAR1 functional assay agonist antagonist|Psilocin|TAAR1
Psilocin SERT SLC6A4 binding affinity Ki|Psilocin|SERT (SLC6A4)
Psilocin SERT SLC6A4 receptor pharmacology assay|Psilocin|SERT (SLC6A4)
Psilocin SERT SLC6A4 functional assay agonist antagonist|Psilocin|SERT (SLC6A4)
Psilocin NET SLC6A2 binding affinity Ki|Psilocin|NET (SLC6A2)
Psilocin NET SLC6A2 receptor pharmacology assay|Psilocin|NET (SLC6A2)
Psilocin NET SLC6A2 functional assay agonist antagonist|Psilocin|NET (SLC6A2)
Psilocin DAT SLC6A3 binding affinity Ki|Psilocin|DAT (SLC6A3)
Psilocin DAT SLC6A3 receptor pharmacology assay|Psilocin|DAT (SLC6A3)
Psilocin DAT SLC6A3 functional assay agonist antagonist|Psilocin|DAT (SLC6A3)
Psilocin VMAT2 SLC18A2 binding affinity Ki|Psilocin|VMAT2 (SLC18A2)
