line_no,doi,compound,entity,title,year,authors,existing_sources
769,10.26686/wgtn.17014082,,,Exploring the Aversive and Anxiogenic Effects of Novel Kappa Opioid Receptor Agonists in Rats,2016,Aimee Culverhouse,candidate_paper_corpus | mechanistic:paper_library
773,10.2174/1570159x14666161031144427,,,Herbal Highs: Review on Psychoactive Effects and Neuropharmacology,2016,Silvia Graziano; Laura Orsolini; Maria Concetta Rotolo; Roberta Tittarelli; Fabrizio Schifano; Simona Pichini,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
774,10.1016/j.brainres.2016.02.024,,,Highly selective non-opioid kappa opioid receptor (KOR) agonist salvinorin A protects against forebrain ischemia-induced brain injury in rats,2016,Jihua Xin; Yan Zhang; Zhenzhou He; Zhenhong Wang,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
776,10.1016/j.comppsych.2016.10.012,,,Increase in PAS-induced neuroplasticity after a treatment course of intranasal ketamine for depression. Report of three cases from a placebo-controlled trial,2016,Verònica Gálvez; Stevan Nikolin; Kerrie-Anne Ho; Angelo Alonzo; Andrew A. Somogyi; Colleen Loo,candidate_paper_corpus | disorder:paper_library
777,10.1016/j.cub.2016.02.010,,,Increased Global Functional Connectivity Correlates with LSD-Induced Ego Dissolution,2016,Enzo Tagliazucchi; Leor Roseman; Mendel Kaelen; Csaba Orbán; Suresh Muthukumaraswamy; Kevin Murphy; Helmut Laufs; Robert Leech; John McGonigle; Nicolás Crossley,candidate_paper_corpus | mechanistic:paper_library
778,10.1016/j.euroneuro.2016.03.012,,,Inhibition of alpha oscillations through serotonin-2A receptor activation underlies the visual effects of ayahuasca in humans,2016,Marta Valle; Ana Maqueda; Mireia Rabella; Aina Rodríguez‐Pujadas; Rosa María Antonijoan; Sergio Romero; Joan Francesc Alonso; Miguel Ángel Mañanas; Steven A. Barker; Pablo Friedländer,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
780,10.26686/wgtn.17148113,,,Investigating the anti-cocaine effects of novel kappa opioid receptor agonists: Behavioural and cellular actions of Salvinorin A analogues,2016,Amy Ewald,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
783,10.2174/1570159x13666150727220944,,,"Kappa Opioids, Salvinorin A and Major Depressive Disorder",2016,George T. Taylor; Francesca M. Manzella,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
784,10.1016/j.brainresbull.2016.05.016,,,Ketamine abuse potential and use disorder,2016,Yu Liu; Deyong Lin; Boliang Wu; Wenhua Zhou,candidate_paper_corpus | mechanistic:paper_library
788,10.1080/14728222.2016.1238899,,,Ketamine’s antidepressant action: beyond NMDA receptor inhibition,2016,Kenji Hashimoto,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
790,10.3109/00952990.2016.1170135,,,Long-term follow-up of psilocybin-facilitated smoking cessation,2016,Matthew W. Johnson; Albert Garcia‐Romeu; Roland R. Griffiths,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
792,10.1038/nrdp.2016.65,,,Major depressive disorder,2016,Christian Otte; Stefan M. Gold; Brenda W.J.H. Penninx; Carmine M. Pariante; Amit Etkin; Maurizio Fava; David C. Mohr; Alan F. Schatzberg,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
793,10.1038/ncomms10652,,,Mechanisms of amphetamine action illuminated through optical monitoring of dopamine synaptic vesicles in Drosophila brain,2016,Zachary Freyberg; Mark S. Sonders; Jenny I. Aguilar; Takato Hiranita; Caline S. Karam; Jorge A. Flores; Andréa Baldocchi Pizzo; Yuchao Zhang; Zachary J. Farino; Audrey Chen,candidate_paper_corpus | mechanistic:paper_library
797,10.1016/j.euroneuro.2016.01.005,,,Modulatory effect of the 5-HT1A agonist buspirone and the mixed non-hallucinogenic 5-HT1A/2A agonist ergotamine on psilocybin-induced psychedelic experience,2016,Thomas Pokorny; Katrin H. Preller; Rainer Kraehenmann; Franz X. Vollenweider,candidate_paper_corpus | mechanistic:paper_library
799,10.1016/j.phrs.2016.04.028,,,Molecular mechanisms of serotonergic action of the HIV-1 antiretroviral efavirenz,2016,Dhwanil A. Dalwadi; Seongcheol Kim; Shahnawaz Amdani; Zhenglan Chen; Renqi Huang; John A. Schetz,candidate_paper_corpus | mechanistic:paper_library
801,10.1038/nature17998,,,NMDAR inhibition-independent antidepressant actions of ketamine metabolites,2016,Panos Zanos; Ruin Moaddel; Patrick J. Morris; Polymnia Georgiou; Jonathan Fischell; Gregory I. Elmer; Manickavasagom Alkondon; Peixiong Yuan; Heather J. Pribut; N. Singh,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
802,10.1093/ijnp/pyw016,,,"Naltrexone but Not Ketanserin Antagonizes the Subjective, Cardiovascular, and Neuroendocrine Effects of Salvinorin-A in Humans",2016,Ana Maqueda; Marta Valle; Peter H. Addy; Rosa María Antonijoan; Montserrat Puntes; Jimena Coimbra; María Rosa Ballester; Maite Garrido; M. J. González; Judit Claramunt,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
804,10.1007/s12640-016-9654-0,,,Neurotoxic Effects of 5-MeO-DIPT: A Psychoactive Tryptamine Derivative in Rats,2016,Karolina Noworyta; Katarzyna Kamińska; Grzegorz Kreiner; Zofia Rogóż; Krystyna Gołembiowska,candidate_paper_corpus | mechanistic:paper_library
809,10.1016/s2215-0366(16)30065-7,,,Psilocybin with psychological support for treatment-resistant depression: an open-label feasibility study,2016,Robin Carhart‐Harris; Mark Bolstridge; James Rucker; Camilla Day; David Erritzøe; Mendel Kaelen; Michael Bloomfield; James A. Rickard; Ben Forbes; Amanda Feilding,candidate_paper_corpus | disorder:curated | disorder:paper_library | mechanistic:paper_library
811,10.1016/j.euroneuro.2016.05.001,,,Receptor interaction profiles of novel psychoactive tryptamines compared with classic hallucinogens,2016,Anna Rickli; Olivier D. Moning; Marius C. Hoener; Matthias E. Liechti,benchmark_manifest | candidate_paper_corpus | mechanistic:paper_library
812,10.1007/s12264-016-0081-2,,,Risks Associated with Misuse of Ketamine as a Rapid-Acting Antidepressant,2016,Weili Zhu; Zengbo Ding; Yinan Zhang; Jie Shi; Kenji Hashimoto; Lin Lü,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
813,10.1016/j.pnpbp.2016.03.009,,,Role of glutamate receptors and glial cells in the pathophysiology of treatment-resistant depression,2016,Yong‐Ku Kim; Kyoung‐Sae Na,candidate_paper_corpus | mechanistic:paper_library
814,10.1016/s0140-6736(15)01121-6,,,Schizophrenia,2016,Michael J. Owen; Akira Sawa; Preben Bo Mortensen,candidate_paper_corpus | disorder:paper_library
